U_GPRO,U_CCL,U_TSLA,U_DAL,U_DIS,U_AAL,U_MSFT,U_AAPL,U_GE,U_F
253767.16666666666,3328.0,120106.16666666667,15157.0,201899.0,10728.833333333334,245395.66666666666,215630.08333333334,298013.5833333333,321185.1666666667
254094.29166666666,3327.7083333333335,120386.58333333333,15159.541666666666,202025.875,10722.958333333334,245761.25,216256.95833333334,298665.9166666667,321614.4583333333
255107.04166666666,3339.75,121590.91666666667,15194.041666666666,202436.45833333334,10815.708333333334,247000.08333333334,218085.04166666666,301982.0416666667,322774.1666666667
255454.58333333334,3384.695652173913,122393.66666666667,15268.391304347826,202701.1739130435,11075.695652173914,247850.91304347827,218891.33333333334,302919.7826086957,323802.4347826087
255459.69565217392,3384.0,122392.0,15267.0,202697.0,11075.0,247845.0,218886.0,302916.0,323800.0
255466.0,3384.0,122391.0,15267.333333333334,202693.33333333334,11075.666666666666,247843.66666666666,218882.33333333334,302912.3333333333,323800.3333333333
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
257989.17647058822,4422.411764705882,133359.23529411765,16267.235294117647,202921.0,11385.823529411764,258084.76470588235,228162.58823529413,310105.82352941175,328818.1176470588
259209.45833333334,4442.666666666667,132598.29166666666,16207.958333333334,202904.25,11357.041666666666,260255.58333333334,228609.625,310247.4166666667,329544.9583333333
259762.58333333334,4450.869565217391,132218.47826086957,16181.608695652174,203003.52173913043,11350.434782608696,262326.0,228674.5652173913,310197.9130434783,330049.04347826086
259768.125,4450.0,132215.0,16179.0,202997.0,11350.0,262316.0,228665.0,310194.25,330047.0
259774.52173913043,4450.0,132215.0,16179.0,202997.0,11350.0,262316.0,228665.0,310195.9130434783,330047.0
259713.4347826087,4466.478260869565,132234.34782608695,16274.434782608696,203252.73913043478,11421.91304347826,263303.1304347826,229085.5652173913,309988.3043478261,330206.347826087
260231.45833333334,4505.5,133920.29166666666,16594.541666666668,203741.83333333334,11655.291666666666,265951.8333333333,230071.58333333334,309361.1666666667,330942.1666666667
