GPRO,CCL,TSLA,DAL,DIS,AAL,MSFT,AAPL,GE,F
4.405,51.31,430.24,59.04,148.18,29.09,160.73,300.58,11.94,9.42
4.33,49.88,442.75,58.06,146.48,27.65,158.59,297.38,11.97,9.21
4.465,48.38,451.4001,57.68,145.65,27.32,159.02,299.78,12.14,9.15
4.405,48.5,469.17,57.61,145.68,27.22,157.6,298.27,12.055,9.25
4.425,48.77,492.09,58.86,145.45,27.84,160.14,303.15,11.93,9.25
4.435,49.21,481.49,58.96,144.8,27.95,162.09,309.71,11.9,9.275
4.28,48.85,477.96,59.22,144.6,27.32,161.32,310.37,11.67,9.25
4.26,49.37,524.85,59.49,143.76,27.39,163.28,316.97,12.11,9.24
4.15,50.22,538.0,61.44,145.21,27.54,162.15,312.69,12.02,9.29
4.24,50.45,518.505,61.63,144.3,27.58,163.29,311.5,11.87,9.2
4.31,51.35,513.49,61.88,145.09,28.23,166.21,315.33,11.84,9.18
4.29,51.9,510.19,62.01,144.25,28.4,167.05,318.67,11.8,9.15
4.39,50.68,547.3007,60.35,143.56,27.2,166.49,316.55,11.66,9.21
4.4055,49.87,569.43,59.64,144.02,27.32,165.69,317.7,11.37,9.16
4.43,49.44,571.9422,60.27,142.18,28.79,166.72,319.2899,11.78,9.14
4.45,47.52,564.96,58.81,140.11,27.65,165.04,318.33,11.71,9.0
4.33,45.275,557.54,56.82,135.82,26.12,162.26,308.96,11.44,8.89
4.46,46.51,566.82,57.48,138.33,26.9,165.46,317.76,11.73,8.98
4.17,46.505,581.0,56.65,136.07,26.81,168.18,324.32,12.94,8.855
4.07,44.75,640.93,57.1,137.76,27.72,172.74,323.8762,12.72,8.84
3.945,43.47,650.48,55.74,138.3,26.83,170.17,309.33,12.43,8.81
4.08,42.74,780.28,56.04,141.32,27.16,174.39,308.71,12.26,8.97
4.16,43.56,887.72,57.93,144.73,28.43,180.13,318.86,12.58,9.1711
4.37,44.14,734.72,58.89,141.37,29.11,179.94,321.58,12.85,8.31
3.96,43.78,748.5,58.18,142.72,28.31,183.64,325.21,12.941,8.255
4.035,42.2,747.9808,57.92,141.06,28.38,183.95,320.04,12.83,8.11
3.92,41.79,770.8467,57.71,142.54,28.79,188.74,321.54,12.91,8.06
3.99,42.95,774.02,58.65,141.0,29.84,184.44,319.61,12.8448,8.1
4.11,44.06,767.44,59.48,141.84,30.47,184.72,327.2,13.17,8.25
4.205,43.21,803.86,59.14,140.9,30.1,183.76,324.91,12.945,8.26
4.02,42.6,799.9724,58.9,139.5497,29.2,185.35,324.94,12.82,8.1
4.08,42.915,858.66,58.72,139.13,28.63,187.22,319.0,12.74,8.05
4.05,43.33,916.96,58.51,141.3,28.33,187.28,323.62,12.6,8.0
4.03,42.5,899.18,58.37,140.37,28.51,184.33,320.3,12.52,8.02
3.91,41.69,901.0,57.88,138.96,27.825,178.56,313.03,12.25,7.89
3.83,37.77,833.16,54.23,133.01,25.45,170.88,298.17,11.86,7.57
3.68,35.84,799.11,50.89,128.26,23.1199,168.05,288.08,11.32,7.23
3.61,33.15,778.8,49.59,123.4,22.31,170.16,292.69,10.96,7.21
3.68,31.85,678.85,48.19,117.97,20.59,158.0,273.04,10.39,6.97
