ABB,TSLA,AMD,RIOT
24.37,430.24,49.11,1.217
24.17,442.75,48.57,1.19
24.32,451.4001,48.39,1.29
24.28,469.17,48.24,1.485
24.36,492.09,47.84,1.35
24.18,481.49,48.96,1.32
23.965,477.96,48.17,1.41
23.99,524.85,48.75,1.36
23.88,538.0,48.2,1.42
23.86,518.505,48.55,1.39
23.98,513.49,49.75,1.43
23.92,510.19,50.92,1.43
23.75,547.3007,51.05,1.4
23.87,569.43,51.43,1.34
23.825,571.9422,51.7,1.26
23.905,564.96,50.35,1.26
23.23,557.54,49.2591,1.25
23.35,566.82,50.53,1.31
23.53,581.0,47.51,1.315
23.6,640.93,48.7601,1.415
23.18,650.48,46.97,1.365
23.245,780.28,48.02,1.37
24.1,887.72,49.47,1.38
25.16,734.72,49.85,1.46
24.72,748.5,49.32,1.425
24.275,747.9808,49.73,1.415
24.39,770.8467,52.269,1.48
24.655,774.02,53.8,1.66
24.73,767.44,53.89,1.6
24.32,803.86,54.54,1.61
24.19,799.9724,55.32,1.63
24.17,858.66,56.9,1.505
24.43,916.96,58.91,1.49
24.3,899.18,57.26,1.42
24.0,901.0,53.27,1.4159
22.8,833.16,49.1001,1.34
22.32,799.11,47.57,1.26
22.42,778.8,47.48,1.25
21.94,678.85,44.01,1.23
21.64,667.43,45.47,1.15
22.0,743.69,47.44,1.18
21.62,745.51,46.74,1.14
22.27,749.5,50.11,1.165
21.36,723.62,48.14,1.28
21.025,703.39,48.6,1.3199
19.02,606.46,43.26,1.065
19.96,645.0,45.38,1.07
18.82,633.905,45.69,1.0056
16.83,556.01,39.005,0.73
17.62,546.2,43.9,0.72
15.49,444.9801,38.71,0.65
16.23,430.0,41.88,0.74
15.66,361.6,39.13,0.6365
16.02,427.295,39.79,0.7033
15.96,427.53,39.6,0.7048
14.86,434.29,41.64,0.6692
16.84,504.3,46.22,0.7977
17.64,539.175,44.62,0.7766
18.97,528.05,47.49,0.8357
18.22,514.56,46.58,0.7887
17.35,502.1,47.85,0.795049
17.26,524.48,45.44,0.83
16.59,481.58,43.67,0.7782
16.88,454.47,44.49,0.78
16.47,480.0,42.58,0.9
17.58,516.24,47.52,1.1
17.73,545.47,47.55,1.0163
17.83,548.7,48.78,1.05
18.1,573.01,48.38,1.035
17.82,650.9899,50.943,1.02
18.24,709.755,54.95,1.0069
17.3,729.5254,55.0,1.125
17.1,745.6545,56.91,1.14
17.66,753.65,56.58,1.12
17.5,746.35,56.92,1.1
16.92,686.72,52.92,1.0101
17.06,732.15,55.9422,1.07
17.06,705.63,55.88,1.14
17.42,725.0,56.16,1.25
17.93,798.92,56.4898,1.23
18.63,769.11,55.5,1.16
19.17,799.84,53.67,1.21
18.77,781.06,52.37,1.21
18.38,701.31,49.89,1.08
18.12,761.21,52.56,1.12
17.96,768.06,52.19,1.15
17.68,782.45,52.17,1.26
17.86,780.215,51.95,1.53
18.34,819.25,53.1862,1.845
18.29,810.48,55.73,1.6
18.06,809.21,53.76,1.59
17.87,790.62,52.13,1.9099
17.5,803.04,54.52,2.265
17.66,799.034,54.22,2.055
18.68,813.51,54.59,2.18
18.63,808.0,55.45,2.24
18.94,815.46,56.39,2.53
18.54,827.75,54.66,2.315
18.78,816.4,55.17,2.2341
19.42,818.74,53.2,1.96
19.555,819.955,52.73,2.125
19.67,805.975,51.76,2.2121
19.66,834.1905,53.6839,2.1333
19.84,897.875,53.625,2.28
20.4,881.4,53.55,2.51
21.47,882.51,52.725,2.415
21.44,864.27,52.64,2.64
21.63,885.335,53.12,2.59
21.94,948.45,52.965,2.56
21.72,941.5524,56.42,2.61
21.63,1024.974,57.48,3.0924
20.38,972.41,52.925,2.17
20.79,936.25,53.83,2.2171
21.1,990.75,54.69,2.305
21.25,981.51,54.46,2.34
21.38,990.56,54.53,2.27
21.32,1004.02,54.03,2.2
21.33,1000.57,54.22,2.1501
21.88,994.54,54.79,2.5269
21.98,1001.66,54.0,2.62
21.77,960.85,52.39,2.34
22.11,985.98,51.93,2.33
21.72,960.76,50.12,2.19
22.16,1009.89,50.28,2.15
22.56,1079.0,52.58,2.225
23.26,1119.54,52.58,2.35
23.435,1208.8,52.33,2.3
24.18,1371.0,53.38,2.39
24.0,1389.69,52.93,2.285
24.61,1365.8054,53.425,2.52
24.25,1393.81,57.26,2.36
24.5,1546.01,55.89,2.33
24.17,1494.1,53.6,2.18
24.83,1516.385,54.72,2.24
24.59,1546.875,55.335,2.26
24.88,1498.7701,54.89,2.22
24.77,1500.45,55.04,2.22
24.89,1642.47,57.46,2.26
24.85,1567.58,57.0,2.285
26.2,1590.58,61.78,2.325
25.88,1513.68,59.61,2.285
25.75,1415.56,69.42,2.2
26.06,1539.91,68.98,2.635
25.85,1475.35,67.72,2.745
26.11,1499.99,76.1,2.75
25.58,1487.42,78.19,2.54
24.99,1432.0,77.43,2.62
25.76,1484.98,77.66,3.495
25.63,1486.25,85.05,3.39
25.95,1485.18,85.33,4.01
26.025,1489.69,86.71,4.23
25.985,1453.1,84.84,3.7579
26.07,1419.0,82.24,4.115
