,timestamp,Open,High,Low,Close,Adj Close,Volume
0,2019-10-30,1.61,1.665,1.52,1.59,1.59,708800
1,2019-10-31,1.63,1.63,1.52,1.56,1.56,322800
2,2019-11-01,1.55,1.59,1.53,1.57,1.57,507100
3,2019-11-04,1.57,1.67,1.55,1.66,1.66,799900
4,2019-11-05,1.66,1.66,1.57,1.6,1.6,643500
5,2019-11-06,1.59,1.595,1.54,1.57,1.57,345000
6,2019-11-07,1.57,1.57,1.5,1.5,1.5,492500
7,2019-11-08,1.52,1.54,1.5,1.52,1.52,264400
8,2019-11-11,1.55,1.55,1.48,1.53,1.53,306300
9,2019-11-12,1.5,1.55,1.5,1.52,1.52,202200
10,2019-11-13,1.51,1.5319999999999998,1.5,1.51,1.51,256000
11,2019-11-14,1.51,1.62,1.5,1.59,1.59,903100
12,2019-11-15,1.57,1.57,1.49,1.51,1.51,496600
13,2019-11-18,1.55,1.55,1.45,1.46,1.46,441400
14,2019-11-19,1.49,1.495,1.44,1.44,1.44,365900
15,2019-11-20,1.45,1.46,1.41,1.43,1.43,315500
16,2019-11-21,1.42,1.45,1.39,1.42,1.42,409000
17,2019-11-22,1.39,1.52,1.35,1.49,1.49,896200
18,2019-11-25,1.51,1.55,1.35,1.35,1.35,1071200
19,2019-11-26,1.44,1.44,1.31,1.33,1.33,650500
20,2019-11-27,1.36,1.38,1.28,1.35,1.35,1054900
21,2019-11-29,1.35,1.405,1.3,1.39,1.39,289400
22,2019-12-02,1.34,1.36,1.3,1.3,1.3,461000
23,2019-12-03,1.32,1.32,1.28,1.32,1.32,412800
24,2019-12-04,1.34,1.34,1.28,1.29,1.29,578500
25,2019-12-05,1.31,1.33,1.3,1.32,1.32,229600
26,2019-12-06,1.3,1.32,1.29,1.32,1.32,302800
27,2019-12-09,1.32,1.32,1.29,1.29,1.29,229300
28,2019-12-10,1.29,1.32,1.29,1.3,1.3,334800
29,2019-12-11,1.3,1.37,1.29,1.32,1.32,694800
30,2019-12-12,1.37,1.37,1.29,1.32,1.32,292900
31,2019-12-13,1.33,1.35,1.305,1.34,1.34,303800
32,2019-12-16,1.33,1.38,1.3,1.33,1.33,887000
33,2019-12-17,1.3,1.32,1.29,1.3,1.3,398300
34,2019-12-18,1.31,1.35,1.29,1.33,1.33,490300
35,2019-12-19,1.35,1.37,1.32,1.32,1.32,320800
36,2019-12-20,1.33,1.34,1.31,1.33,1.33,297100
37,2019-12-23,1.35,1.35,1.31,1.33,1.33,546100
38,2019-12-24,1.31,1.33,1.31,1.31,1.31,332600
39,2019-12-26,1.34,1.34,1.28,1.3,1.3,581000
40,2019-12-27,1.29,1.3,1.21,1.22,1.22,906000
41,2019-12-30,1.22,1.23,1.11,1.14,1.14,1046700
42,2019-12-31,1.14,1.15,1.11,1.12,1.12,619300
43,2020-01-02,1.14,1.23,1.13,1.22,1.22,915700
44,2020-01-03,1.22,1.22,1.14,1.18,1.18,467200
45,2020-01-06,1.23,1.3,1.2,1.3,1.3,981200
46,2020-01-07,1.39,1.5,1.33,1.49,1.49,3313600
47,2020-01-08,1.54,1.54,1.29,1.37,1.37,1792300
48,2020-01-09,1.37,1.41,1.29,1.33,1.33,791100
49,2020-01-10,1.33,1.45,1.29,1.41,1.41,1358500
50,2020-01-13,1.45,1.45,1.31,1.36,1.36,634900
51,2020-01-14,1.44,1.51,1.4080000000000001,1.42,1.42,1683000
52,2020-01-15,1.5,1.5,1.39,1.4,1.4,1247300
53,2020-01-16,1.4,1.45,1.36,1.43,1.43,670600
54,2020-01-17,1.45,1.49,1.43,1.46,1.46,1102400
55,2020-01-21,1.49,1.49,1.33,1.4,1.4,1020500
56,2020-01-22,1.43,1.43,1.31,1.34,1.34,865200
57,2020-01-23,1.33,1.334,1.25,1.26,1.26,737500
58,2020-01-24,1.3,1.32,1.25,1.26,1.26,468000
59,2020-01-27,1.26,1.28,1.2,1.24,1.24,891300
60,2020-01-28,1.28,1.32,1.265,1.31,1.31,679800
61,2020-01-29,1.33,1.35,1.28,1.31,1.31,634000
62,2020-01-30,1.58,1.63,1.34,1.43,1.43,7720600
63,2020-01-31,1.45,1.45,1.35,1.35,1.35,1400000
64,2020-02-03,1.36,1.42,1.33,1.36,1.36,916000
65,2020-02-04,1.36,1.39,1.32,1.38,1.38,862600
66,2020-02-05,1.4,1.51,1.4,1.48,1.48,2968900
67,2020-02-06,1.53,1.55,1.42,1.43,1.43,1962100
68,2020-02-07,1.46,1.46,1.39,1.43,1.43,1198700
69,2020-02-10,1.48,1.51,1.39,1.48,1.48,1425700
70,2020-02-11,1.5,1.76,1.49,1.68,1.68,7345800
71,2020-02-12,1.79,1.86,1.58,1.6,1.6,6460000
72,2020-02-13,1.6,1.63,1.51,1.61,1.61,1839500
73,2020-02-14,1.61,1.67,1.56,1.64,1.64,1579100
74,2020-02-18,1.55,1.56,1.4,1.5,1.5,2365200
75,2020-02-19,1.55,1.55,1.42,1.5,1.5,1148800
76,2020-02-20,1.42,1.455,1.37,1.42,1.42,1890000
77,2020-02-21,1.43,1.44,1.37,1.41,1.41,906800
78,2020-02-24,1.3,1.37,1.29,1.33,1.33,1274200
79,2020-02-25,1.35,1.35,1.23,1.26,1.26,1376300
80,2020-02-26,1.24,1.25,1.18,1.245,1.245,1419700
81,2020-02-27,1.2,1.28,1.129,1.23,1.23,1555900
